163	47.05	47.12	46.62	45.70	50.46	49.05	47.24	35.32	162.0000
164	46.98	47.16	46.69	45.61	50.31	49.32	47.06	35.35	163.0000
165	46.91	47.33	46.92	45.53	50.18	49.80	46.91	35.39	164.0000
166	46.86	47.61	47.29	45.46	50.09	50.41	46.78	35.42	165.0000
167	46.80	47.97	47.73	45.39	50.05	51.10	46.69	35.46	166.0000
168	46.75	48.40	48.24	45.34	50.06	51.81	46.64	35.50	167.0000
169	46.72	48.88	48.81	45.29	50.11	52.53	46.63	35.53	168.0000
170	46.70	49.37	49.39	45.26	50.21	53.26	46.66	35.56	169.0000
171	46.70	49.90	49.98	45.25	50.33	53.94	46.73	35.60	170.0000
172	46.71	50.42	50.59	45.27	50.50	54.62	46.84	35.62	171.0000
173	46.74	50.95	51.18	45.29	50.68	55.28	46.98	35.65	172.0000
174	46.79	51.47	51.77	45.34	50.89	55.90	47.14	35.68	173.0000
175	46.86	52.00	52.36	45.40	51.10	56.50	47.33	35.71	174.0000
176	46.94	52.51	52.93	45.48	51.34	57.09	47.54	35.74	175.0000
177	47.03	53.01	53.49	45.57	51.58	57.65	47.77	35.76	176.0000
178	47.14	53.50	54.03	45.68	51.84	58.18	48.01	35.79	177.0000
179	47.26	53.98	54.56	45.79	52.10	58.68	48.26	35.81	178.0000
180	47.39	54.44	55.07	45.92	52.37	59.17	48.53	35.84	179.0000
181	47.53	54.89	55.57	46.06	52.64	59.64	48.81	35.86	180.0000
182	47.68	55.32	56.05	46.21	52.92	60.09	49.09	35.89	181.0000
183	47.83	55.74	56.51	46.36	53.20	60.52	49.38	35.91	182.0000
184	47.99	56.15	56.96	46.51	53.49	60.94	49.68	35.94	183.0000
185	48.16	56.54	57.39	46.68	53.77	61.34	49.98	35.96	184.0000
186	48.33	56.93	57.81	46.84	54.05	61.72	50.27	35.99	185.0000
187	48.50	57.30	58.22	47.02	54.34	62.09	50.58	36.01	186.0000
188	48.68	57.66	58.61	47.19	54.62	62.45	50.88	36.03	187.0000
189	48.87	58.00	58.98	47.37	54.90	62.79	51.18	36.05	188.0000
190	49.05	58.34	59.35	47.56	55.19	63.13	51.48	36.08	189.0000
191	49.23	58.66	59.69	47.73	55.47	63.45	51.78	36.10	190.0000
192	49.42	58.98	60.02	47.92	55.75	63.76	52.07	36.12	191.0000
193	49.61	59.28	60.35	48.11	56.03	64.07	52.37	36.14	192.0000
194	49.80	59.57	60.67	48.29	56.32	64.36	52.66	36.17	193.0000
195	49.99	59.85	60.97	48.48	56.58	64.65	52.95	36.19	194.0000
196	50.17	60.13	61.27	48.66	56.85	64.92	53.24	36.22	195.0000
197	50.36	60.39	61.55	48.85	57.12	65.19	53.53	36.24	196.0000
198	50.54	60.64	61.82	49.04	57.39	65.45	53.80	36.27	197.0000
199	50.73	60.89	62.08	49.22	57.65	65.70	54.08	36.30	198.0000
200	50.92	61.13	62.34	49.40	57.91	65.95	54.35	36.33	199.0000
201	51.10	61.37	62.59	49.58	58.17	66.19	54.62	36.36	200.0000
202	51.29	61.59	62.81	49.77	58.43	66.42	54.88	36.38	201.0000
203	51.48	61.77	62.97	49.95	58.68	66.51	55.13	36.41	202.0000
204	51.66	61.83	62.97	50.13	58.93	66.35	55.38	36.44	203.0000
205	51.85	61.76	62.82	50.30	59.16	66.02	55.61	36.48	204.0000
206	52.03	61.61	62.56	50.48	59.35	65.57	55.81	36.51	205.0000
207	52.20	61.36	62.21	50.64	59.49	65.05	55.97	36.54	206.0000
208	52.37	61.06	61.80	50.80	59.60	64.49	56.09	36.57	207.0000
209	52.52	60.72	61.36	50.95	59.65	63.92	56.17	36.60	208.0000
210	52.66	60.35	60.90	51.07	59.67	63.35	56.23	36.64	209.0000
211	52.78	59.96	60.43	51.17	59.66	62.78	56.24	36.68	210.0000
212	52.88	59.55	59.95	51.26	59.62	62.24	56.22	36.72	211.0000
213	52.96	59.16	59.46	51.33	59.56	61.71	56.17	36.76	212.0000
214	53.03	58.75	58.98	51.38	59.47	61.20	56.10	36.80	213.0000
215	53.08	58.35	58.51	51.41	59.37	60.70	55.99	36.84	214.0000
216	53.11	57.95	58.05	51.43	59.26	60.24	55.88	36.88	215.0000
